Unnamed: 0,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,cleaned_benefits,cleaned_sideEffects,cleaned_comments,combined_features,effectiveness_score
458,flagyl,7,Considerably Effective,Moderate Side Effects,bacterial vaginosis,I experienced complete clearing of the Vaginosis after the regimin was completed.,0.0,0.0,experienced complete clearing vaginosis regimin completed,get mild yeast infection treatment,took antibiotic prescribed every day twice day one pill time bacterial vaginosis cleared treatment however slight yeast infection went away otc treatment,bacterial vaginosis Considerably Effective,
3479,dextroamphetamine,8,Highly Effective,Moderate Side Effects,add,"Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts.",0.0,0.0,smoother gradual onset effect adderall effective controlling add symptoms previously controlled adderall however drug seems natural transparent less tension anxiety less druggy unnatural feelings thoughts,dexerine ir tablets need taken often adderall also wear abruptly generic tablets high quality somewhat expensive due need large quantity tablets,switched adderall dexedrine compare effects dexedrine simply dextroamphetamine adderall mixture amphetamine salts might explain increased effectiveness dexedrine contrary popular belief found important take several relatively low doses frequently achieve balanced effect,add Highly Effective,3.0
959,sarafem,8,Considerably Effective,Mild Side Effects,depression,I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.,0.0,0.0,found drug helps significantly level depression monthly irritability occurs around menstrual cycles,sides effects noticeable mild noticed lower libido fluoxetine noticeable side effects,prescribes treatment depression seasonable disorder hormonal irritability gone medication pregnant resumed help ease depression issues,depression Considerably Effective,
928,latisse,9,Considerably Effective,Mild Side Effects,sparse eyelashes,"For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.
Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too.",0.0,0.0,first time life enough lashes apply mascara tried eyelash extensions broke pulled thin lashes strip lashes itchy uncomfortable normal lashes even though applied upper lashes lower lashes grown longer thicker,upper eyelids red itchy first 4 5 weeks went away problem since eye exams normal eye preassure normal,first 6 8 weeks used one drop every night applied upper lash base small disposable brush lashes grown started using every 2 3 nights instead every night lashes stayed longer thicker prior treating,sparse eyelashes Considerably Effective,
2643,aldara,4,Considerably Effective,Severe Side Effects,skin cancer,Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman.,0.0,0.0,aldara seem crust previous skin cancer area help minimize scar mohs surgery skin cancer due side effects could tolerate one week opposed 6 week regiman,felt feeling like depressed feeling fatigued broke severe blisters around lips,used 1 4 packet 5 cream nose every night alternating nights put entire packet entire face,skin cancer Considerably Effective,
3692,effexor-xr,8,Highly Effective,No Side Effects,anxiety,"reduction in anxiety, no panic attacks.  drug is extremely effective",0.0,0.0,reduction anxiety panic attacks drug extremely effective,side effects drug super bad side effects going drug google searched lots people symptoms read start,took medication 5 6 years hard get drug liked way anxiety controlled also inhibits emotional response least case mood emotion nothing gave flat affect also doctor seem informed toward drug side effects withdrawl symptomologies,anxiety Highly Effective,3.0
338,neurontin,6,Moderately Effective,No Side Effects,nerve disorder,"I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.

For the migraines
I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record.",0.0,0.0,taking gabapentin treat nerve disorder nerves inflamed causes experience pelvic pain pelvic disorders gabapentin sometimes works experience relapse migraines find 800mg ibprofen works better side effect migraines maxalt better track record,side effect taking gabapentin miss couple dosages run wait next refill moderate withdrawal syptoms syptoms include itchness irrability moodness axiousness headaches maxalt side effect throat feels contristricted shortly taking medicine,take 600mg gabapentin three times day seems effective feel need hire dosage longer take experience relapses first started 300mg three times day ineffective,nerve disorder Moderately Effective,2.0
3201,omnicef,1,Marginally Effective,Severe Side Effects,sore throat ear infections,don't know yet back to pediatrician today,0.0,0.0,know yet back pediatrician today,one year old daughter awesome disposition always became restless agitated touchy aggressive crying lot hard time sleeping also refluxing lot nursing normally dawned morning must medication request another antibiotic today pediatrician,thanks,sore throat ear infections Marginally Effective,1.0
2566,klonopin,8,Considerably Effective,Mild Side Effects,generalized anxiety disorder,Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.,0.0,0.0,good relieving anxiety good generally calming leveling make functioning easier helps little relax muscle tension calming effect makes excellent sleep aid,fatigue sometimes excessive high dependency,used general anxiety adjunct depression chronic pain good alleviating anxiety jittery feelings levels mood cause euphoria desire take need however dependent stop taking couple days bad nervousness jitteryness tachycardia sweating anxiety symptoms wanted discontinue would slowly nature long term benzodiazepine treatment,generalized anxiety disorder Considerably Effective,
723,dovonex,6,Moderately Effective,No Side Effects,psoriasis,"Controlled the psoriasis, however did not reduce its presence.",0.0,0.0,controlled psoriasis however reduce presence,halo shades lighter natural skin tone present around site application would last 12 24 hours,found time consuming apply 1 2 times daily also due halo effect little precarious apply well,psoriasis Moderately Effective,2.0
305,protopic,8,Highly Effective,Moderate Side Effects,ezcema,cure the ezcema and it took aout teh roughest of the skin,0.0,0.0,cure ezcema took aout teh roughest skin,skin redness flushes sometimes skin eels like fire feel ho also itchy skin heeling drug sometimes even wake middle night itchiness happens first days skins bad ezcema days skin better feel put treatment skin feels othe normal moisturiser cream,apply day afeter cleaning skin avoid direct sunlight,ezcema Highly Effective,3.0
1084,effexor,9,Considerably Effective,Mild Side Effects,panic attacks and depression,reduction of panic attacks and depression to almost nil,0.0,0.0,reduction panic attacks depression almost nil,nausea first two weeks perceived ill effects,started low dose 25mg built 150mg 3 months reduced 75mg per day six months dose continues today six month treatment break resulted return symptoms treatment resumed 25mg 75mg one month,panic attacks and depression Considerably Effective,
1246,sotret,10,Highly Effective,Moderate Side Effects,acne,"I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal.",0.0,0.0,took isotretinoin persistent adult acne skin means awful evident pimples forehead chin awful awful blackheads nose despite daily steaming extraction terrible drug totally cleared face blackhead literally dried front eyes horribly oily skin changed almost normal,first let say experience awful side effects isotretinoin use turn red around perioral area especially nasolabial folds face felt needed peel scratch deep dermis fact main complaint itchiness course dryness dryness nearly bad expected example lips never cracked however several years treatment still dry skin problems weird skin always oily dry could attributed normal aging regardless become real connosiour facial moisturizers skin also little sensitive post isotretinoin tazorac one percent used slather nightly like lotion sets fire dare use half percent version twice week know literature claims anti aging efficacy used daily hoping best,confess confused section real details associated treatment aside alreay described,acne Highly Effective,3.0
1714,retin-a-micro,8,Moderately Effective,Moderate Side Effects,"anti-aging, acne","The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over.",0.0,0.0,treatment benefits included skin regeneration decreased acne skin felt smooth pigmentation disapearing overall goals accomplished however redness skin took,side effects treatment included redness dryness skin irritation skin dry difficult moisturize skin looked red irritated however switched lighter skin cleanser cetaphil really helped improve redness dryness prior cetaphil using roc cleansing pads harsh skin,routine included daily use micro retin pump applied retin micro pump entire face night washing face used moisturizer sun screen morning,"anti-aging, acne Moderately Effective",2.0
376,lamotrigine,9,Considerably Effective,Mild Side Effects,epilpsy,fits settled down to maybe 1 a fortnight which were daily before this medication,0.0,0.0,fits settled maybe 1 fortnight daily medication,gained quite abit weight problems gaining weight since toddler isnt bad thing,givn specialist previous medicine epilim caused serious side effects still messing dosage hope getting fits 0 far vast improvement seizures,epilpsy Considerably Effective,
1571,rebif,6,Considerably Effective,Moderate Side Effects,multiple sclerosis,Reduce number of MS relapses,0.0,0.0,reduce number ms relapses,flu like symptoms aches fever,subcutaneous injection 3x weekly,multiple sclerosis Considerably Effective,
2436,symbicort,10,Highly Effective,No Side Effects,"asthma, emphysema","I had taken Pulmicort, and other inhalants, with no major changes.  It became more difficult to maintain my exercise and lively life style. I gave in and began Symbicort and immediately experienced a relief of shortness of breath, weezing.  I feel like a new person. I still have a reaction to cold wind, and very high humidity, but so much better.  I rarely use my Albuterol.",0.0,0.0,taken pulmicort inhalants major changes became difficult maintain exercise lively life style gave began symbicort immediately experienced relief shortness breath weezing feel like new person still reaction cold wind high humidity much better rarely use albuterol,none,take one puff rinse mouth gargle repeat treatment evening bed,"asthma, emphysema Highly Effective",3.0
3716,lamictal,8,Considerably Effective,Mild Side Effects,bipolar disorder and depression,I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level.,0.0,0.0,feeling grounded highs lows less extreme could say emotional playing field level,one side effect purposely playfully sarcastically placing within quotes stuff increased sex drive manyfold know case patients curious know anyone else experience also presenting little feathery tickle resulting annoying dry cough perhaps side effect lessen body adapts medication,doctor started minimal dose 25 mg lamotrigine prior starting interferon ribavarin treatment hep c got antidepressant may added near future well lamotrigine prescribed put calmer state mind specifically high anxiety effect receive antidepressants resulted 2 visits emergency room well one month hospital stay due extreme anxiety paranoia far good layman analysis,bipolar disorder and depression Considerably Effective,
1959,lyrica,1,Marginally Effective,Severe Side Effects,"fibromyalgia, failed back syndrome","It seemed to work at first, but then the side effects started. Fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). The hard part is I can't seem to get off this stuff!! The withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. It scares me so much that I just start taking it again. I'm stuck!! Don't ever start this stuff, there is something wrong with it. I don't know if I will ever be myself again.",0.0,0.0,seemed work first side effects started fatigue severe memory loss poor decisions urinary incontinence personality changes crabby irritable withdrawn hard part seem get stuff withdrawals horrible shakiness feelings doom loss appetite nausea palpitations scares much start taking stuck ever start stuff something wrong know ever,see,lyrica 150mg twice day,"fibromyalgia, failed back syndrome Marginally Effective",1.0
1872,doxycycline,8,Considerably Effective,Mild Side Effects,acne,decrease in acne pustules,0.0,0.0,decrease acne pustules,photosensitivity,take medication twice day combination good skin care,acne Considerably Effective,
1038,vyvanse,8,Considerably Effective,Mild Side Effects,adhd,"Alert, awake, focused",0.0,0.0,alert awake focused,dry mouth decreased appetite,vyvanse 2 weeks started 40 mg 60 mg next week probably upped 70 mg used take focalin found bipolar stop close year become stable lithium feel alert awake focused feel vyvanse smooth lasts longer hope get weight loss benefits eventually,adhd Considerably Effective,
2745,actonel,7,Marginally Effective,Mild Side Effects,osteoporosis,My  bone density's results have always been stable and I was told to continue with the drug.,0.0,0.0,bone density results always stable told continue drug,leg cramps night,eight years ago started fosamax 3 4 years took actonel march decided take actonel longer long fearful esophageal cancer bone breakage doctor wants take prolia injections going going continue drugs bone density recently done minuses work personal trainer execise daily searching alternative ways deal problem,osteoporosis Marginally Effective,1.0
1268,provigil,7,Moderately Effective,Mild Side Effects,fatigue,"I was more alert during the first part of the day but I found that it wore off by the afternoon. I could focus clearly, and if I needed a boost during the day another dose was enough.",0.0,0.0,alert first part day found wore afternoon could focus clearly needed boost day another dose enough,may cause nervousness restlessness sometimes felt like drank large cup coffee full potency,took modafinil cronic fatigue general drousiness found moderatly effective morning would take dose effects noticeble even pronounced however lunchtime totally wore would take another dose second pill taken later day sometimes would interfere sleep one must carful take pill right time,fatigue Moderately Effective,2.0
797,ambien,8,Considerably Effective,Mild Side Effects,insomnia,Sleeping 7-8 hours without hangover,0.0,0.0,sleeping 7 8 hours without hangover,memory loss,godsend fully rested feel like new person convinced kept sliding full depression works 3 levels 1 body gets rest fight another day 2 brain heals 3 endure difficult day knowing take pill go sleep consider miracle cure preventing full blown depression wish available years ago could changed life would recommend anyone good experience getting sleep,insomnia Considerably Effective,
2801,wellbutrin,10,Highly Effective,Mild Side Effects,depression,"I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before.",0.0,0.0,taken antidepressants many years first flip switch sexuality longer feel like looking dark room energy feel motivated overall function higher level,little bit hyper feelings take entire dose one time daily advised feeling revved would disspiate take two doses day try minimize effect taking medication first thing morning,suffer chronic depression wellbutrin first antidepressant sedate dampen sexual feelings taken tricyclics sp extremely sedating well limiting far otc medications dietary restrictions also tried ssris prozac zoloft etc temporarily relieved depression 1 effect last 6 months 2 completely destroyed libido,depression Highly Effective,3.0
2360,propecia,8,Moderately Effective,Mild Side Effects,male pattern baldness,"Ostensibly this will halt or even reverse the effects of male-pattern baldness. So far, one month in, there is not a great deal to report. I expected my hair loss to temporarily increase, as I had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. In other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. So far, this has not occurred. The product must be taken for up to two years for any noticeable hair growth to take place, so I really haven't been on it long enough to judge its re-growth potential. In terms of halting the process, however, I must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. I will post a fuller report in another forty-seven months, I suppose.",0.0,0.0,ostensibly halt even reverse effects male pattern baldness far one month great deal report expected hair loss temporarily increase read literature dormant hair follicles reactivate push dead hairs order form new ones word hair dead follicle linger months reactivation follicle push old hair make room new far occurred product must taken two years noticeable hair growth take place really long enough judge growth potential terms halting process however must say fewer hairs brush morning possible drug effect already post fuller report another forty seven months suppose,surprised experience brief blinding headaches upper left rear quadrant head like mini seconds long burst pressure felt like blunt object suddenly trying explode skull pressure would subside would go day told headaches one usual side effects may unrelated fluke however never experience manifested within forty eight hours first taking drug seventy two hours thereafter sudden sporadic bursts acute pain subsided however would caution anyone taking drug first time lookout especially driving public place bright lights lot noise around,overall whether sort placebo effect reaction subjective impression hair loss slowed stopped hair remaining appears fuller presented symptoms doctor issued prescription day filled afternoon local pharmacy began taking immediately formulation prescribed 1 milligram although believe usual prescription 2 milligrams go high 5 milligrams case mild begin may difficult judge results however mild side effects described subsided within three days must say overall experience positive one,male pattern baldness Moderately Effective,2.0
630,nortriptyline,3,Moderately Effective,Severe Side Effects,a typical migraines,I have A-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  I also do have headacheds that seem to come from ears and the back of my neck.  It help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  It helped me to ignore my symptoms and helped me to get through the day.,0.0,0.0,typical migraines gives weird sensation ears roaring sense vibrating also headacheds seem come ears back neck help feel better started decrease symptoms side effects worse original symptoms helped ignore symptoms helped get day,ringing ears sensitivity noise phantom noise head lead anxiety,stopped medicine looking something else help,a typical migraines Moderately Effective,2.0
422,imitrex,10,Highly Effective,Mild Side Effects,migraine headaches,migraine headache would stop,0.0,0.0,migraine headache would stop,dizzy palpitations,taken shots pills separately worked well would need take pills getting sick stomach could keep pills shot worked regardless took,migraine headaches Highly Effective,3.0
330,ativan,9,Considerably Effective,No Side Effects,anxiety,"Assists with getting to sleep and due to longer half life than other anxiolytics(ie Alprazolam)anxiety is less upon waking. Whilst Alprazolam is extrememly effective for immediate reduction in arousal, I find Lorazepam more effective for overall lowering of anxiety.It has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication.",0.0,0.0,assists getting sleep due longer half life anxiolytics ie alprazolam anxiety less upon waking whilst alprazolam extrememly effective immediate reduction arousal find lorazepam effective overall lowering anxiety especially helpful start day little anxiety rather high arousal level immediately needing management medication,benzodiazepines withdrawl noticeable undertaken quickly lightheadedness anxiety dizzy spells general feeling unwell experience suggested half life relation reducing intake drugs misleading reduction done slowly number weeks days usually suggested physicians,taken anxiety initially acute stage followed decision patient continue 3 months order reduce arousal levels whilst undertaking therapy using theraputic model act,anxiety Considerably Effective,
1899,doxycycline,10,Highly Effective,No Side Effects,severe peridontal disease,"I had   persistent periodontal problems, both stressful and painful.  Every dentist I saw  told me I was going to lose my teeth.  This drug  cleared up the condition.  It protected me against inflammation for the entire period of time that I took it.  I continued taking the drug much longer than is usually recommended because it was so effective. The effectiveness did not seem to diminish.",0.0,0.0,persistent periodontal problems stressful painful every dentist saw told going lose teeth drug cleared condition protected inflammation entire period time took continued taking drug much longer usually recommended effective effectiveness seem diminish,none,dentist dental hmo prescribed willing continue implored,severe peridontal disease Highly Effective,3.0
1210,prozac,7,Considerably Effective,Mild Side Effects,depression,"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget.",0.0,0.0,relieves depression helps things sleep dieting exercise relationships responses stimulous cost lower antidepressants help budget,sleepy lack response problems took long get started think anyone else would think effective stop taking,took seemingly long period time become effective started however expected hard without think problem stopping future,depression Considerably Effective,
1762,topamax,6,Highly Effective,Mild Side Effects,"seizures,migraines,fibro.","To stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes",0.0,0.0,stop migraines seizures pain fibromyalgia also neuropathy hands feet diabetes,alittle weight loss thin already worst thing hair loss feeling pins needles feet got worse dr increased dose 200mgs t0 300 mgs af ter four years seizures two three weeks many side affects four years taken 200 mgs hair came blurry vision dehydration forgetfulness name delt read except hair always lots know upset needless say istopped taking extra 100mgs went back old dosage hopes tha everything goe back trying get touch dr type anyone know side affects goe away,take two 100 mgs tablets given increase told take two 100 mgs tablets 1 evening bed,"seizures,migraines,fibro. Highly Effective",3.0
1534,levitra,10,Highly Effective,No Side Effects,ed,The stuff works like a charm--fast and effective.,0.0,0.0,stuff works like charm fast effective,review,one pill 30 mins activity,ed Highly Effective,3.0
3060,oxycodone,7,Considerably Effective,Mild Side Effects,possible lymphoma/kidney pain,"The drug was pretty good for pain. They had me on morphine, which was horrible. The pain was preferable to the crazy dreams and paranoia I had. They then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects.",0.0,0.0,drug pretty good pain morphine horrible pain preferable crazy dreams paranoia tried oxycontin best pain drug gave addictive moved vicodin products worked pretty well surprisingly side effects,sleepiness dizziness light headedness nausea took pain unbearable might gotten used side effects kept levels system,took pills every 4 6 hours kidney pain bad tried take night conditions improved since made sleep stopped takeing long infections colon problems resolved like takeing drugs,possible lymphoma/kidney pain Considerably Effective,
3728,lamictal,8,Highly Effective,No Side Effects,seizure disorder,Effective at controlling seizures without dizziness,0.0,0.0,effective controlling seizures without dizziness,side effects,took dilantin decades doctor moved trileptal 100 effective caused dizziness plus expensive lamictal controls seizures although still get headaches auras would like completely free headaches still better previous medications,seizure disorder Highly Effective,3.0
1804,oxycontin,7,Considerably Effective,Mild Side Effects,post surgical pain,Able to tolerate the pain,0.0,0.0,able tolerate pain,loss appetite dizzy,following nasal reconstruction bone graft nasal bridge pain relief prescribed nose crushed accident think would necessary however procedure turned extremely painful several days pain medication allowed tolerate pain however made impossible function normally could sleep remain haze pain diminished,post surgical pain Considerably Effective,
1989,vicodin,8,Considerably Effective,Mild Side Effects,broken collarbone,very effective pain killer,0.0,0.0,effective pain killer,constipation,take pills pain,broken collarbone Considerably Effective,
714,accutane,9,Highly Effective,Moderate Side Effects,acne,"Eventually Cleared my moderate acne. Had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after 5 months",0.0,0.0,eventually cleared moderate acne recieved antibiotics etc previosly reduced severe moderate accutane completely cleared skin 5 months,hair loss much head places arms etc dry lips worst tried many different products eventually carmex solved dry skin slightly much probelem depression bad would motivation anything hated everything around stopping drug discontinued deem acceptable results clear skin,remember ever initial flare ups breakouts people reported warned dermatologist say remember noticed difference first months became frustrated towards end fourth month started become noticablly clearer spots end fifth month clear remained clear year however oilyness skin returned would class skin mild acne affects areas around nose unlike cheeks notice spots return contact derm put second course accutane otherwise return serverly undo progress previously made,acne Highly Effective,3.0
1290,zocor,10,Highly Effective,Mild Side Effects,high cholestoral,"Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time.",0.0,0.0,brought overall cholestorol reading 218 150 ldl 135 90 triglycerides 180 140 within 3 months time,soreness muscles first several weeks finally went away,started medication 3yrs ago still take today continued good results side effects,high cholestoral Highly Effective,3.0
2646,aldara,10,Considerably Effective,No Side Effects,basal cell carcinoma,"The cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended.",0.0,0.0,cream made basal cell carcinoma actinic keratoses react scab heal nice smooth skin two weeks treatment cream ended,side effects people think ulcerated scabby areas side effects cream designed make bad cells react destruct,cream applied bedtime five nights week basal cell carcinoma three night per week actinic keratosis eight weeks row end eight weeks bad cells react gradually scabby spots know medicine working put cream spots doctor tells inch margin around,basal cell carcinoma Considerably Effective,
3100,ortho-tri-cyclen,10,Highly Effective,No Side Effects,birth control,"No undesired pregnancies, lighter period",0.0,0.0,undesired pregnancies lighter period,none,one pill daily,birth control Highly Effective,3.0
3082,minocycline,6,Marginally Effective,No Side Effects,treatment of acne,"I took Minocycline hoping that it would clear up my acne. I have been taking Tetracycline for over 2 years without no result, frustrated, my doctor prescribed Minocyline. After 1 year, I was still having break out just not as bad.",0.0,0.0,took minocycline hoping would clear acne taking tetracycline 2 years without result frustrated doctor prescribed minocyline 1 year still break bad,treatment side effect,severe acne problem occasional break prescribed minocycline doctor advised take day treatment acne told would take six month see result year little still breaking break bad bottom line satisfied help clear acne altogether,treatment of acne Marginally Effective,1.0
